id,image,question_id,vqa_answer
0,000-00.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-00.jpg,1,Yes there are lights on the Christmas tree.</s>
0,000-00.jpg,2,Yes there is a teddy bear sitting in front of a Christmas tree.</s>
0,000-00.jpg,3,Yes the Christmas tree is lit up with lights.</s>
0,000-00.jpg,4,Yes the teddy bear is near the Christmas tree.</s>
0,000-01.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-01.jpg,1,Yes there are several strings of lights around a Christmas tree.</s>
0,000-01.jpg,2,No there is no teddy bear in the image. The Christmas tree is decorated with Christmas balls and lights but no teddy bear is visible.</s>
0,000-01.jpg,3,Yes the lights are on the Christmas tree which is covered in ornaments and surrounded by snow.</s>
0,000-01.jpg,4,Yes the teddy bear is sitting near the Christmas tree in the snow.</s>
0,000-02.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-02.jpg,1,Yes there are lights on the christmas tree which illuminate it and create a warm and festive atmosphere.</s>
0,000-02.jpg,2,No there is no teddy bear in the image. The image shows a pine tree with a lit Christmas tree ornament on it.</s>
0,000-02.jpg,3,Yes the Christmas tree is decorated with white lights.</s>
0,000-02.jpg,4,Yes the teddy bear is near the Christmas tree.</s>
0,000-03.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-03.jpg,1,Yes there are lights on the small tree which are illuminating the tree's branches and adding a festive touch to the scene.</s>
0,000-03.jpg,2,No there is no teddy bear in the image. The image shows a Christmas tree with white lights but it does not contain a teddy bear.</s>
0,000-03.jpg,3,Yes the lights are on the Christmas tree.</s>
0,000-03.jpg,4,No there is no teddy bear near the Christmas tree. The image shows a Christmas tree with white lights and a curtain on the wall behind it.</s>
0,000-04.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-04.jpg,1,Yes there are lights on the Christmas tree.</s>
0,000-04.jpg,2,No there is no teddy bear in the image. The image shows a small Christmas tree with a star on top placed in a room.</s>
0,000-04.jpg,3,Yes the lights are on the Christmas tree.</s>
0,000-04.jpg,4,Yes the teddy bear is sitting on the chair near the Christmas tree.</s>
0,000-05.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-05.jpg,1,Yes there are lights in the image specifically around the Christmas tree and on the wall.</s>
0,000-05.jpg,2,No there is no teddy bear in the image.</s>
0,000-05.jpg,3,Yes the lights on the Christmas tree are on.</s>
0,000-05.jpg,4,No there is no teddy bear near the Christmas tree.</s>
0,000-06.jpg,0,Yes there is a Christmas tree with ornaments.</s>
0,000-06.jpg,1,No there are no lights in the image.</s>
0,000-06.jpg,2,Yes there is a teddy bear standing in front of a tree with ornaments.</s>
0,000-06.jpg,3,Yes the lights are turned on on the Christmas tree.</s>
0,000-06.jpg,4,Yes the teddy bear is near the Christmas tree which is covered in Christmas balls and ornaments.</s>
0,000-07.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-07.jpg,1,Yes there are lights around the Christmas tree which adds to the festive atmosphere of the scene.</s>
0,000-07.jpg,2,Yes there is a teddy bear near a Christmas tree.</s>
0,000-07.jpg,3,Yes the lights are on the Christmas tree.</s>
0,000-07.jpg,4,Yes the teddy bear is sitting next to the Christmas tree.</s>
0,000-08.jpg,0,Yes there is a Christmas tree with a red bow on it.</s>
0,000-08.jpg,1,Yes there is a lit Christmas tree in the image with a star on top.</s>
0,000-08.jpg,2,Yes there is a teddy bear near the Christmas tree with red ribbon.</s>
0,000-08.jpg,3,Yes the lights are on the Christmas tree.</s>
0,000-08.jpg,4,Yes the teddy bear is placed next to the Christmas tree.</s>
0,000-09.jpg,0,Yes there is a large evergreen Christmas tree in the snow surrounded by a snowy yard.</s>
0,000-09.jpg,1,No there are no lights on the tree in the image. The tree is covered in snow and features a large pine cone in the middle but there are no lights visible.</s>
0,000-09.jpg,2,No there is no teddy bear in the image. The image features a beautiful snow-covered Christmas tree standing in a snowy yard.</s>
0,000-09.jpg,3,Yes the lights are on the Christmas tree and the tree is also covered in snow.</s>
0,000-09.jpg,4,No there is no teddy bear near the Christmas tree. The image shows a snow-covered Christmas tree in a snowy setting but there is no mention of a teddy bear or a bear.</s>
0,000-10.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-10.jpg,1,Yes there are lights surrounding the Christmas tree.</s>
0,000-10.jpg,2,No there is no teddy bear in the image. The image features a Christmas tree with ornaments.</s>
0,000-10.jpg,3,No the Christmas tree is not lit up in the image.</s>
0,000-10.jpg,4,No the teddy bear is not near the Christmas tree. The teddy bear is located separate from the Christmas tree.</s>
